Map = {
SpawnPoint3 = {
	type = "SpawnPoint",
	center_1 = {-70, 1, -287},
	center_2 = {70, 1, -287},
	center_3 = {36, 1, -283},
	center_4 = {-36, 1, -283},
	center_5 = {-102, 1, -312},
	center_6 = {102, 1, -312},
	radius_count = 7,
	radius_0 = 27.000000,
	radius_1 = 20.000000,
	radius_2 = 20.000000,
	radius_3 = 13.500000,
	radius_4 = 13.500000,
	radius_5 = 15.000000,
	radius_6 = 15.000000,
	material_count = 4,
	material_0 = "castle_maingate",
	material_1 = "castle_lateralgates",
	material_2 = "castle_lateralmaingate",
	material_3 = "castle_tower",
	physic_entity = "fromFile",
	physic_file = "media/models/CastleFront.RepX",
	physic_group = 16,
	physic_normal = {0, 1, 0},
},
StoneBridge = {
	type = "StoneBridge",
	position = {-24, 1.2, 50},
	orientation = 0.000000,
	scale = 1.000000,
	model = "stone-bridge.mesh",
	isStatic = true,
	terrain_material = "stone_bridge",
	destination_texture_width = 2.000000,
	destination_texture_height = 2.000000,
	destination_projection_height = 3.000000,
	destination_material = "destination_mark",
	physic_entity = "fromFile",
	physic_file = "media/models/StoneBridge.RepX",
	physic_group = 8,
	physic_normal = {0, 1, 0},
	physic_bounds = {35.81407, 24.25506, 88.33762},
},
ChestTrap = {
	type = "ChestTrap",
	isGenerator = true,
	position = {-97.4, -100, 31.5},
	orientation = 180.000000,
	physic_shape = "box",
	physic_dimensions = {2.5, 2.5, 2.5},
	physic_trigger = false,
	physic_group = 14,
	scale = 1.000000,
	model = "chest.mesh",
	isStatic = false,
	physic_type = "kinematic",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	particle_systems_count = 2,
	particle_systems_0 = "explosion",
	particle_systems_1 = "chestTrapSeal",
	defaultParticleSystem = "chestTrapSeal",
	audio_bank_count = 2,
	audio_bank_0 = "Master Bank.bank",
	audio_bank_1 = "Master Bank.strings.bank",
	sound_event_count = 0,
	defaultEvent = "event:/TrapExplossion",
	smart_position_1 = {0, 0, 10},
	smart_positions_num = 1,
},
MudTrapHelper = {
	type = "MudTrapHelper",
	isGenerator = true,
	position = {1.06, -100, 31.55},
	orientation = 0.000000,
	scale = 1.200000,
	model = "mudtrap.mesh",
	isStatic = false,
	correctPositionMaterial = "marineBlue",
	wrongPositionMaterial = "marineRed",
},
Tent2 = {
	type = "Tent",
	position = {-288.9, 0, -229.1},
	orientation = 315.000000,
	physic_shape = "box",
	physic_dimensions = {9.265985, 6.78, 12.58583},
	physic_trigger = false,
	physic_group = 15,
	scale = 1.000000,
	model = "tent.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
},
Princess = {
	type = "Princess",
	isPlayer = true,
	position = {11.5, 5.9, -202},
	orientation = 180.000000,
	model = "princess.mesh",
	defaultAnimation = "Idle",
	scale = 1.000000,
	speed = 0.008000,
	angularSpeed = 20.000000,
	accel = 0.001000,
	angularAccel = 3.000000,
	movementTolerance = 1.500000,
	selection_texture_width = 4.000000,
	selection_texture_height = 4.000000,
	selection_projection_height = 20.000000,
	selection_material = "selection_aura",
	activation_material = "activation_aura",
	physic_height = 4.000000,
	physic_radius = 1.000000,
	physic_shape = "capsule",
	physic_group = 9,
	behavior = "princess",
	attack_range = 12.000000,
	attack_damage = 20,
	time_between_attacks = 1000,
	attack_animation = "Attack1",
	aura_texture_width = 5.000000,
	aura_texture_height = 5.000000,
	aura_projection_height = 40.000000,
	wrath_per_casualty = 10,
	wrath_per_damage = 2,
	wrath_per_attack = 3,
	time_to_decrease = 1000.000000,
	time_to_awake = 5000.000000,
	aoe_stun_time = 2000.000000,
	aoe_stun_distance = 2.000000,
	aoe_stun_cost = 20,
	aoe_stun_particle = "energy",
	aoe_buff_percentage = 15.000000,
	aoe_buff_cost = 40,
	aoe_buff_duration = 5000,
	aoe_buff_particle = "atomicity",
	aoe_heal_quantity = 150.000000,
	aoe_heal_cost = 60,
	aoe_heal_particle = "heal",
	berserkerModeDuration = 6000,
	berserkerModeAttackModifier = 50.000000,
	berserkerModeCost = 80,
	berserker_particle = "lightningBolt",
	aura_material = "princess_aoe",
	limitTimeOnDangerousWrathLevel = 5000,
	wrathOverflowDamage = 40,
	wrathOverflowParticleName = "wrathOverflow",
	wrathOverflowSoundName = "event:/Princess/WrathOverflow",
	wrathOverflowActive = false,
	life = 1000,
	lifebar_position = {0, 12, -3},
	lifebar_color_r = 0.880000,
	lifebar_color_g = 0.010000,
	lifebar_color_b = 0.880000,
	detection_range = 20.000000,
	detector_collision_group = 12,
	moving_detection = false,
	is_aggressive = false,
	can_defend_position = false,
	can_keep_attacking = true,
	defending_distance = 40.000000,
	particle_systems_count = 6,
	particle_systems_0 = "blackHole",
	particle_systems_1 = "heal",
	particle_systems_2 = "energy",
	particle_systems_3 = "lightningBolt",
	particle_systems_4 = "wrathOverflow",
	particle_systems_5 = "recoverLife",
	defaultParticleSystem = "",
	discovery_range = 70.000000,
	discovery_collision_group = 12,
	portrait_name = "BadPrincessHud2/PrincessPortrait",
	abilityQ_name = "BadPrincessHud2/PrincessPushaway",
	abilityQ_tooltip = "PrincessQ",
	abilityQ_luaField = "",
	abilityW_name = "BadPrincessHud2/PrincessBuff",
	abilityW_tooltip = "PrincessW",
	abilityW_luaField = "",
	abilityE_name = "BadPrincessHud2/PrincessHeal",
	abilityE_tooltip = "PrincessE",
	abilityE_luaField = "",
	abilityR_name = "BadPrincessHud2/PrincessBerserker",
	abilityR_tooltip = "PrincessR",
	abilityR_luaField = "",
	audio_bank_count = 2,
	audio_bank_0 = "Master Bank.bank",
	audio_bank_1 = "Master Bank.strings.bank",
	sound_event_count = 15,
	sound_event_0 = "event:/TrapExplossion",
	sound_event_1 = "event:/Princess/PrincessSelected1",
	sound_event_2 = "event:/Princess/PrincessSelected2",
	sound_event_3 = "event:/Princess/PrincessSelected3",
	sound_event_4 = "event:/Princess/PrincessAttack1",
	sound_event_5 = "event:/Princess/PrincessAttack2",
	sound_event_6 = "event:/Princess/PrincessAttack3",
	sound_event_7 = "event:/Princess/PrincessOrder1",
	sound_event_8 = "event:/Princess/PrincessOrder2",
	sound_event_9 = "event:/Princess/PrincessOrder3",
	sound_event_10 = "event:/Princess/SpellQ",
	sound_event_11 = "event:/Princess/SpellW",
	sound_event_12 = "event:/Princess/SpellE",
	sound_event_13 = "event:/Princess/SpellR",
	sound_event_14 = "event:/Princess/WrathOverflow",
	defaultEvent = "",
	kitchen_heal_quantity = 5.000000,
	kitchen_heal_time = 1000,
	kitchen_heal_particle_name = "recoverLife",
	order_voice = "event:/Princess/PrincessOrder",
	attack_voice = "event:/Princess/PrincessAttack",
	selection_voice = "event:/Princess/PrincessSelected",
},
Assassin = {
	type = "Assassin",
	isEnemy = true,
	isGenerator = true,
	position = {-41, -100, 203},
	orientation = 0.000000,
	model = "assassin.mesh",
	defaultAnimation = "Idle",
	scale = 1.000000,
	speed = 0.010000,
	angularSpeed = 17.000000,
	accel = 0.001000,
	angularAccel = 3.000000,
	movementTolerance = 1.500000,
	physic_height = 4.000000,
	physic_radius = 1.000000,
	physic_shape = "capsule",
	physic_group = 10,
	behavior = "assassin",
	life = 75,
	lifebar_position = {0, 12, -3},
	lifebar_color_r = 0.980000,
	lifebar_color_g = 0.130000,
	lifebar_color_b = 0.120000,
	attack_range = 15.000000,
	attack_damage = 30,
	time_between_attacks = 500,
	attack_animation = "Attack",
	timeTillAppears = 3,
	timeTillDisappears = 3,
	timeTillDisappearsAfterReceiveDamege = 3,
	particle_systems_count = 2,
	particle_systems_0 = "assassinStealth",
	particle_systems_1 = "stunned",
	defaultParticleSystem = "",
	audio_bank_count = 2,
	audio_bank_0 = "Master Bank.bank",
	audio_bank_1 = "Master Bank.strings.bank",
	sound_event_count = 1,
	sound_event_0 = "event:/SmokeBomb",
	defaultEvent = "",
},
CaveRoof = {
	type = "CaveRoof",
	position = {0, 0, 0},
	orientation = 0.000000,
	scale = 1.000000,
	model = "cave_roof.mesh",
	isStatic = false,
	center_count = 1,
	center_0 = {-300, 1, 300},
	radius_count = 1,
	radius_0 = 100.000000,
	material_count = 1,
	material_0 = "cave_roof",
	physic_entity = "fromFile",
	physic_file = "media/models/CaveRoof.RepX",
	physic_group = 16,
	physic_normal = {0, 1, 0},
},
WorkmanGoblin = {
	type = "WorkmanGoblin",
	isPlayer = true,
	isGenerator = true,
	position = {22.5, -99.5, 0.8},
	orientation = 0.000000,
	model = "workman_goblin.mesh",
	defaultAnimation = "Idle",
	scale = 1.000000,
	speed = 0.008000,
	angularSpeed = 20.000000,
	accel = 0.001000,
	angularAccel = 3.000000,
	movementTolerance = 1.500000,
	selection_texture_width = 4.000000,
	selection_texture_height = 4.000000,
	selection_projection_height = 20.000000,
	selection_material = "selection_aura",
	activation_material = "activation_aura",
	physic_height = 4.000000,
	physic_radius = 1.000000,
	physic_shape = "capsule",
	physic_group = 9,
	behavior = "workman",
	max_to_gather = 50,
	gather_unit = 5,
	time_between_gather = 500,
	buildAbilityChar = "Q",
	repairBuildingAbilityChar = "E",
	life = 250,
	lifebar_position = {0, 6, -3},
	lifebar_color_r = 0.100000,
	lifebar_color_g = 0.940000,
	lifebar_color_b = 0.100000,
	discovery_range = 70.000000,
	discovery_collision_group = 12,
	particle_systems_count = 5,
	particle_systems_0 = "heal",
	particle_systems_1 = "atomicity",
	particle_systems_2 = "flareShield",
	particle_systems_3 = "summon",
	particle_systems_4 = "recoverLife",
	defaultParticleSystem = "",
	attack_range = 15.000000,
	attack_damage = 10,
	time_between_attacks = 1000,
	attack_animation = "Attack1",
	portrait_name = "BadPrincessHud/WorkmanPortrait",
	abilityQ_name = "BadPrincessHud/WorkmanWell",
	abilityQ_tooltip = "WorkmanQ",
	abilityQ_luaField = "Well",
	abilityW_name = "BadPrincessHud/WorkmanCarryChest",
	abilityW_tooltip = "WorkmanW",
	abilityW_luaField = "",
	abilityE_name = "BadPrincessHud/WorkmanRepair",
	abilityE_tooltip = "WorkmanE",
	abilityE_luaField = "WellRepair",
	abilityR_name = "",
	abilityR_tooltip = "",
	abilityR_luaField = "",
	carrierAbilityChar = "W",
	carrierIdleAnimationName = "Idle3",
	carrierMoveAnimationName = "CarryChest",
	releaseAbility_name = "BadPrincessHud/WorkmanDropChest",
	audio_bank_count = 2,
	audio_bank_0 = "Master Bank.bank",
	audio_bank_1 = "Master Bank.strings.bank",
	sound_event_count = 15,
	sound_event_0 = "event:/Resources/CutTree",
	sound_event_1 = "event:/Resources/HitStone",
	sound_event_2 = "event:/Resources/HitMetal",
	sound_event_3 = "event:/Goblins/GoblinOrder1",
	sound_event_4 = "event:/Goblins/GoblinOrder2",
	sound_event_5 = "event:/Goblins/GoblinOrder3",
	sound_event_6 = "event:/Goblins/GoblinAttack1",
	sound_event_7 = "event:/Goblins/GoblinAttack2",
	sound_event_8 = "event:/Goblins/GoblinAttack3",
	sound_event_9 = "event:/Goblins/GoblinSelected1",
	sound_event_10 = "event:/Goblins/GoblinSelected2",
	sound_event_11 = "event:/Goblins/GoblinSelected3",
	sound_event_12 = "event:/Battle/Sword1",
	sound_event_13 = "event:/WorkmanGoblin/dragChest",
	sound_event_14 = "event:/WorkmanGoblin/repairing",
	defaultEvent = "",
	detection_range = 20.000000,
	detector_collision_group = 12,
	moving_detection = false,
	is_aggressive = false,
	can_defend_position = false,
	can_keep_attacking = true,
	defending_distance = 40.000000,
	material_name = "workman_goblin",
	changeTypeParticleEffectName = "flareShield",
	kitchen_heal_quantity = 5.000000,
	kitchen_heal_time = 1000,
	kitchen_heal_particle_name = "recoverLife",
	order_voice = "event:/Goblins/GoblinOrder",
	attack_voice = "event:/Goblins/GoblinAttack",
	selection_voice = "event:/Goblins/GoblinSelected",
},
DamageTrap = {
	type = "DamageTrap",
	isGenerator = true,
	position = {1.06, -100, 31.55},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {6.27, 1.39, 6.38},
	physic_trigger = true,
	physic_group = 12,
	scale = 1.200000,
	model = "damagetrap.mesh",
	isStatic = false,
	trapDamage = 100,
	radiusOfEffect = 20.000000,
	physic_type = "kinematic",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	particle_systems_count = 2,
	particle_systems_0 = "explosion",
	particle_systems_1 = "damageTrapSeal",
	defaultParticleSystem = "damageTrapSeal",
	audio_bank_count = 2,
	audio_bank_0 = "Master Bank.bank",
	audio_bank_1 = "Master Bank.strings.bank",
	sound_event_count = 0,
	defaultEvent = "event:/Traps/damageTrap",
},
Camera = {
	type = "Camera",
	position = {0, 0, 0},
	orientation = 0.000000,
	minHeight = 20.000000,
	maxHeight = 100.000000,
	targetDistanceZ = 50.000000,
	sensitivity = 0.500000,
	topLimit = 0.040000,
	bottomLimit = 0.500000,
	rightLimit = 0.050000,
	leftLimit = 0.050000,
},
Rocks1Rock0 = {
	type = "Rock",
	position = {-311.8, 0, -297.5},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock1 = {
	type = "Rock",
	position = {-321.3, 0, -345.2},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock2 = {
	type = "Rock",
	position = {-285.1, 0, -374.2},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_positions_num = 4,
},
Rocks1Rock3 = {
	type = "Rock",
	position = {-276.7, 0, -344.6},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_positions_num = 4,
},
Rocks1Rock4 = {
	type = "Rock",
	position = {-294.2, 0, -344.6},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock5 = {
	type = "Rock",
	position = {-216.4, 0, -336.2},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_positions_num = 4,
},
Rocks1Rock6 = {
	type = "Rock",
	position = {-227.2, 0, -345.5},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock7 = {
	type = "Rock",
	position = {-244.7, 0, -345.5},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_positions_num = 4,
},
Rocks1Rock8 = {
	type = "Rock",
	position = {-267, 0, -372},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock9 = {
	type = "Rock",
	position = {-254.1, 0, -330.1},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_positions_num = 4,
},
Rocks1Rock10 = {
	type = "Rock",
	position = {-270.8, 0, -310.7},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_position_4 = {-4, 0, 0},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock11 = {
	type = "Rock",
	position = {-189.6, 0, -297.3},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock12 = {
	type = "Rock",
	position = {-287.1, 0, -285},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_positions_num = 4,
},
Rocks1Rock13 = {
	type = "Rock",
	position = {-197.9, 0, -316.7},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock14 = {
	type = "Rock",
	position = {-241.6, 0, -269},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_positions_num = 4,
},
Rocks1Rock15 = {
	type = "Rock",
	position = {-224.1, 0, -237.1},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_4 = {-4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock16 = {
	type = "Rock",
	position = {-224, 0, -294.7},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_4 = {-4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock17 = {
	type = "Rock",
	position = {-250, 0, -289.4},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_4 = {-4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock18 = {
	type = "Rock",
	position = {-176.7, 0, -283.3},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_positions_num = 4,
},
Rocks1Rock19 = {
	type = "Rock",
	position = {-254.8, 0, -253.1},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_positions_num = 4,
},
Rocks1Rock20 = {
	type = "Rock",
	position = {-358, 0, -255.9},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_positions_num = 4,
},
Rocks1Rock21 = {
	type = "Rock",
	position = {-334.7, 0, -383.9},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock22 = {
	type = "Rock",
	position = {-144.9, 0, -318},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
Rocks1Rock23 = {
	type = "Rock",
	position = {-135.7, 0, -348.4},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_4 = {-4, 0, 0},
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_positions_num = 4,
},
Rocks1Rock24 = {
	type = "Rock",
	position = {-153.2, 0, -348.4},
	orientation = 0.000000,
	physic_shape = "box",
	physic_dimensions = {3.21, 4.78, 3.08},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "rock.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 3,
	max_resource_quantity = 2000,
